Column,W Statistic,p-value
Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,0.8722643648571862,4.874702042828204e-11
Je préfère généralement afficher les courriels dans une orientation:,0.7410819441131508,3.097420321929685e-16
Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,0.5966328705857149,4.5771208888669146e-20
Il me semble que les icônes de gestion des e-mails sont:,0.8767853245973737,8.379399937124356e-11
L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,0.8744770271143436,6.344438638796565e-11
Je trouve que les icônes pour la gestion du courrier électronique sont:,0.7655683703026692,1.94550945651751e-15
Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,0.8677707131447621,2.880744833765532e-11
Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,0.8934690508403123,6.979463342237119e-10
La recherche d'un courrier électronique dans un dossier donné est:,0.8622485208105225,1.5337235607934842e-11
En général je considère que l'utilisation des Mails est:,0.953575724863098,1.6066488834295608e-05
